Azorhizobium caulinodans
Buchnera aphidicola
Dictyoglomus thermophilum
Methylophilus methylotrophus
Pelobacter carbinolicus
Phenylobacterium immobile
Shewanella colwelliana
Shewanella putrefaciens
Shewanella hanedai
Myxococcus fulvus
Myxococcus xanthus
Corallococcus macrosporus
Angiococcus disciformis
Stigmatella aurantiaca
Cystobacter fuscus
Melittangium lichenicola
Archangium gephyra
Chondromyces apiculatus
Chondromyces crocatus
Nannocystis exedens
Sorangium cellulosum
Polyangium sp.
Vitreoscilla sp.
Vitreoscilla stercoraria
Vitreoscilla beggiatoides
Vitreoscilla filiformis
Herpetosiphon aurantiacus
Lysobacter enzymogenes
Simonsiella muelleri
Caulobacter sp.
Hyphomicrobium sp.
Hyphomicrobium vulgare
Hyphomicrobium methylovorum
Hyphomonas jannaschiana
Hyphomonas sp.
Leptothrix discophora
Stella humosa
Gallionella ferruginea
Ancylobacter aquaticus
Polaribacter glomeratus
Flectobacillus major
Cyclobacterium marinum
Runella slithyformis
Spirosoma linguale
Xanthobacter viscosus
Gemmata obscuriglobus
Pirellula sp.
Planctomyces brasiliensis
Planctomyces limnophilus
Planctomyces maris
Blastopirellula marina
Pirellula staleyi
Isosphaera pallida
Tuberoidobacter mutans
Methylocystis parvus
Borrelia burgdorferi
Borrelia hermsii
Borrelia parkeri
Borrelia turicatae
Borrelia anserina
Borrelia coriaceae
Borrelia sp.
Spirochaeta aurantia
Spirochaeta bajacaliforniensis
Spirochaeta halophila
Spirochaeta isovalerica
Spirochaeta litoralis
Treponema stenostrepta
Spirochaeta thermophila
Treponema zuelzerae
Treponema denticola
Brachyspira hyodysenteriae
Treponema pallidum
Treponema phagedenis
Treponema bryantii
Treponema pectinovorum
Treponema saccharophilum
Treponema sp.
Treponema succinifaciens
Leptospira biflexa
Leptospira interrogans
Leptospira borgpetersenii
Leptospira sp.
Leptospirillum ferrooxidans
Leptospirillum sp.
Leptonema illini
Magnetospirillum magnetotacticum
Novispirillum itersonii
Aquaspirillum serpens
Azospirillum brasilense
Azospirillum lipoferum
Campylobacter coli
Campylobacter fetus
Campylobacter jejuni
Campylobacter hyointestinalis
Campylobacter concisus
Campylobacter curvus
Campylobacter lari
Campylobacter mucosalis
Campylobacter rectus
Campylobacter showae
Campylobacter sp.
Campylobacter sputorum
Campylobacter jejuni-like bacterium
Helicobacter pylori
Helicobacter sp. CLO-3
Helicobacter acinonychis
Helicobacter cinaedi
Helicobacter felis
Helicobacter fennelliae
Helicobacter muridarum
Helicobacter mustelae
Helicobacter sp.
Achromobacter cycloclastes
Achromobacter lyticus
Pseudoalteromonas carrageenovora
Pseudoalteromonas haloplanktis
Alteromonas sp.
Brucella abortus
Brucella ovis
Elizabethkingia meningoseptica
Flavobacterium sp.
Flavobacterium sp. 141-8
Flavobacterium sp. SC12154
Flavobacterium sp. U-188
Planomicrobium okeanokoites
Flavobacterium aquatile
Chryseobacterium balustinum
Empedobacter brevis
Terrimonas ferruginea
Chryseobacterium gleum
Psychroflexus gondwanensis
Halomonas halmophila
Chryseobacterium indologenes
Chryseobacterium indoltheticum
Myroides odoratus
Sphingobacterium spiritivorum
Sphingobacterium thalpophilum
Flavobacterium sp. K172
Francisella tularensis
Francisella novicida
Paracoccus denitrificans
Paracoccus sp.
Thermus aquaticus
Thermus caldophilus
Thermus thermophilus
Thermus sp.
Thermus filiformis
Meiothermus ruber
Xanthobacter autotrophicus
Xanthobacter flavus
Comamonas testosteroni
Pseudomonas aeruginosa
Pseudoalteromonas atlantica
Pseudomonas carboxydohydrogena
Burkholderia cepacia
Brevundimonas diminuta
Pseudomonas fluorescens
